Electronic system to help voluntary organisation manage all aspects of its Maintenance Request Process.,"Irish voluntary organisation invites tenders for the provision of an electronic system to help manage all aspects of its Maintenance Request Process.
The organisation provides a comprehensive range of services for individuals with intellectual disabilities and their families in County Kildare, East Offaly, West Wicklow and North Carlow. 
The organisation currently uses SharePoint 2013 in Office 365 for its Intranet. One of the processes handled via SharePoint is its Maintenance Request System, which allows external sites to log maintenance issues so that they can be dealt with. This Process is handled using a list and ‘new item’ screen in SharePoint, with a simple workflow in the background to ensure key people get no notified about the request when necessary. This SharePoint list solution has been in in place for several years. 
The organisation now needs this solution either updated, rebuilt or replaced to match its new Process and to add some new features. These features include, for example, the ability for external Contractors to be able to update details of a Request, and new solution importing Accruals/Invoices into Exact, our Accounts system. If needed, an Exact support engineer can work with the successful bidder to enable this part of the work to happen. 
Please apply below to receive further information on the new Maintenance Request Process, along with detailed requirements of the new solution.",27/07/2016
Technical assistance required for project supporting conflict prevention and contributing to durable peace.,"The overall objective of this project is to support (sub-)national and regional initiatives in countries affected by/or emerging from conflict or whose peace and stability is at risk and build sustainable, in-country capacities for effective conflict management and peace-building.
Activities
•	community-based actions aimed at empowering and building the resilience of young people in urban and rural areas against participation in armed groups
•	formal and informal peace education actions providing young people with alternative models to violence, life-skills education and skills in mediation, negotiation, conflict resolution, consensus building and promoting peace culture, intercultural and inter-faith dialogue and respect for diversity and tolerance 
•	actions aimed at offering young people alternative livelihood opportunities and promoting youth economic engagement
•	actions related to rehabilitation and trauma healing of youth affected by conflict
•	inter-generational actions aimed at strengthening/rebuilding youth facilitating their civic engagement and volunteerism for peace
•	actions aimed at supporting youth participation in decision making processes related to peace-building
Contracts
Service: € 131,7
Please register your interest below for further information.",07/10/2016
Large Finnish electricity transmission company is looking for an online HVDC fault location system.,"The procurement will be a turn-key project consisting of the studies, design, construction, testing, planning and commissioning of the submarine power connection HVDC online fault location system. The fault location system shall supervise the complete link and localize faults automatically. 
The supervised system starts from Finland and ends in Sweden. The system consists of 100 kilometres of overhead lines and 200 kilometres of submarine cable. The cable is a 500kV HVDC armoured submarine cable with MI paper insulation. 
The procurement includes the following main parts:
•	Theoretical studies and electrical calculations to verify the system functionality in theory
•	Site surveys for determining the local conditions for installing the surveillance equipment
•	Design, manufacturing, testing and installation of online fault location system, including all needed accessories and equipment needed for connecting the fault location system to the HVDC circuit
•	Telephone and on-site support
•	Spare parts
For more information on this opportunity,  please register below to contact UKTI Finland.",03/08/2016
"Vaccines, specialised drugs and pharmaceutical materials sought by local distributor","To respond to growing demand of imported vaccines and specialised drugs, a local group is seeking new suppliers from overseas. The business is done through the group’s newly acquired medical and pharmaceutical distributor. 
This distributor has an extensive network with public hospitals throughout the country, and has been the general contractor for large hospital projects. The company also owns pharmaceutical production facilities.
The company is keen to work with a UK supplier. Products of demand are vaccines, especially combination vaccines; oncology drugs and other specialised drugs; and materials for pharmaceutical production. 
Interested UK suppliers are advised to register their interest below UKTI Vietnam as soon as possible. Details of the company’s profile and any prior experience of exporting to Vietnam should also be provided.",31/12/2016
India- Regenerative resource management required for setting up an industrial park,"An engineering company working towards building a fully equipped and integrated Hi tech Industrial park in the southern part of India. 
The company is seeking joint ventures or collaboration for the following modules given below:-
-Captive Power generation
-Water Treatment Plant
-Waste water Management
Please apply below for further information.",15/08/2016
Appointment of a service provider/s to provide logistic support and associated services to the South African Department of Environmental Affairs.,"The South African Department of Environmental Affairs, Branch: Oceans and Coasts wishes to appoint a service provider or service providers to assist with the supply of:
1. Suitable vessel/s compliant with the Department of Environmental Affairs requirements and South African Maritime Safety Authority (SAMSA) regulations in specified areas along the South African coast, more specifically but not limited to the
East and South coast from Northern Kwazulu-Natal to East London;
2. Appropriate and recognised SAMSA qualified skipper/s;
3. Experienced dive team/s, primarily using Self Contained Underwater Breathing
Apparatus (SCUBA), compliant to undertake dive operations as specified in
Occupational Health and Safety Act (Act 8 of 1993) (“OHSA”) and the Diving
Regulations, 2009 promulgated in terms of the OHSA and including compliance with all codes of practice issued in terms of Section 24 of the Diving Regulations;
4. Basic and specialised dive gear
5. Secured storage space for research and project related equipment.
The closing date for all bids is 22 July 2016.
For more information register below with UKTI South Africa",21/07/2016
A large-scale online retailer seeks fast moving consumer goods (FMCGs) to import from the UK.,"This large-scale e-commerce retailer based in Beijing is looking for a variety of Western products to offer in China. The company is one of the largest e-commerce platforms in China and has access to a huge number of Chinese consumers.
It is looking for FMCGs to distribute to middle-class Chinese consumers; the company is not looking for luxury goods or products targeted at high-end customers. The company would like to work with both brand owners and exporters whose products have competitive prices and are currently not sold in China. The business model could be direct purchase or setting up online stores, based on negotiation. 
To find out more, please register your interest with our team in China.
The China-Britain Business Council (‘CBBC’) is a membership organisation and UKTI’s chosen partner in China to deliver trade services. To find out more about CBBC please visit www.cbbc.org.",01/10/2016
A Hangzhou-based finance group seeks partnerships with a UK company that has experience in drama and the circus,"Headquartered in Hangzhou, this finance group has approximately 2,000 employees worldwide throughout 60 cities in five countries and regions. The group manages assets worth more than RMB 30 billion (approx. GBP 3 billion) and has four companies. It has a focus on the health care, education and culture industries. 
It is looking for a UK partner company that offers products/services in the arts, specialising in drama and the circus. It is interested in working with a partner via a joint venture, with the UK company providing education resources to train entertainers in China. It prefers to work with partners that are well-known in the UK’s entertainment industry. 
To find out more, please register your interest below with our team in China.
The China-Britain Business Council (‘CBBC’) is a membership organisation and UKTI’s chosen partner in China to deliver trade services. To find out more about CBBC please visit www.cbbc.org.",30/08/2016
This project seeks to source an online (SAAS) mentoring system with the ability to automatically match students and mentors.,"This project seeks to source an online(SAAS) mentoring system with the ability to automatically match students and mentors and enhance the current service offering.
In Summary:
-The solution will enable mentors and mentees to apply to participate in the nominated mentor programs and to enable those applications to be recorded. 
-The solution will match mentors and mentees based on pre-determined criteria. 
-The solution will enable a mentee to review matches and select a mentor based on the matches. 
-The solution will guide, support and provide a platform for communication between mentees and mentors through a structured program.
-The solution will provide a repository of structured training materials, for example video lectures and e-learning modules, to be accessed, undertaken and completions recorded for both mentors and mentees.
-The solution will provide a level of evaluation and reporting functionality. 
-The solution will be scalable to allow for multiple mentoring programs.
-The solution will have the ability to execute the same matching process with the same set of mentors and mentees, as many times as required.
-The solution will have the ability to differentiate between different program intakes.
-The solution will have the ability to monitor communications between mentors and mentees.
-The solution can be configured to work with Single Sign On for user authentication. 
Please apply below for further information.",21/07/2016
Requirement for a modern online database to manage the use of state government sports grounds,"300 hectares of sports grounds consisting of 126 separate sites. Many of these sites are mixed use and can facilitate multiple simultaneous bookings. In current use is an Access Database with a web interface that supports payments. Currently, booking requests are reviewed and approved and confirmations emailed manually.
Desired outcomes
A user friendly online booking system that improves operational efficiency, meets the business requirements of Sports and Recreation Services and the needs of the community, including sport and recreation user groups through improved customer experience.This project is valued between A$25,000 and A$35,000.
Bids for the sports ground booking system close 29 July 2016.",21/07/2016
Hong Kong supermarket seeks premium food & drinks products.,"A well-established, premium, food hall-style supermarket chain is looking to source the categories listed below. The retailer is particularly interested in brands with a good story about its provenance.
AMBIENT FOOD
•	Non-alcoholic beverages – soft drinks, juice, coffee, hot chocolate, and tea (including herbal or functional teas)
•	Snacks – crisps, popcorn, biscuits, sweets, chocolate and other confectionery
•	“Free-from” ranges – eg. gluten-free, dairy-free, vegetarian/vegan and “superfood” products
•	Condiments and preserves
•	Baking ingredients – separate components and cake mixes
FROZEN / CHILLED / FRESH FOOD
•	Seafood
•	Meat
•	Cheese
•	Chilled desserts – jelly, pudding, yoghurt
To help us assess your company, please provide the following details below:
•	You company’s product range
•	What sets your brand apart from competitors – ie. what is your unique selling proposition?
•	Company website
The information will be passed to the UKTI office in Hong Kong, who will liaise with the supermarket.
Due to the anticipated high volume of interest, only companies of interest to the supermarket’s buyers will be contacted. This opportunity is only open to UK-registered companies.",26/07/2016
Professional services for reservoir reclaimed water supply pipe condition assessment.,"A municipality is seeking proposals from qualified proponents to undertake the necessary work for a condition assessment on approximately 3,589 meters of a reservoir reclaimed water supply pipe.  
The scope of the project includes the following:
• Provision of professional services to complete condition assessment using appropriate technologies given the two differing pipe materials. This shall include best practice technologies capable of assessing the condition of the pipe wall material, as well as air
pockets and leak detection, sufficient to prescribe rehabilitation alternatives.
• Coordination with City operators and any and all stakeholders. This shall include any and all permitting as required.
• Interpretation of the condition assessment data collected to identify, characterize and locate defects with high accuracy in terms of location along the alignment (±1.0m) as well as circumferential reference (±15°).
• Final reporting providing the condition assessment results and including a variety of suitable engineered rehabilitation options (including full replacement for comparison), a recommended rehabilitation plan and associated costs estimates for all alternatives.
• As provisional: All physical pre- and post- works necessary to facilitate sensor installation and conveyance of equipment in the reclaimed water supply pipe. Design or installation and removal of inspection equipment will be done by a local consulting engineer, with tendering of pipe modifications through a separate contract. Proponent should be prepared to work with the consultant to coordinate insertion and removal of inspection equipment.
• As provisional: Should pipe material be identified as part of the assessment that requires recalibration of equipment, the project schedule will need to accommodate any necessary equipment changes while located on site in order to complete the assessments on those pipe materials.
• Works shall be completed by end of November 2016 with reporting provided by end of December 2016.
Please register your interest below for further information.",11/08/2016
"Irish organisation is seeking companies who can redevelop and maintain a responsive website, an Android app and an iOS app.","Irish organisation is seeking companies who can redesign, develop, implement, host and maintain a responsive website, an Android app and an iOS app. 
They require the following:
- A Content Management System will be required that can be used to edit the website and apps from within the Irish organisation. Training on this system will also be required.
- A contemporary and uncluttered design of the website and mobile apps
- Social media must be incorporated, including the facility to display video
- Means to monitor the website and apps' usage
- Easy to navigate across full range of digital devices and fully functional on desktop and laptops
- Compatible with all commonly used browsers
- Apps must be virtually identical, but optimitised and designed for their respective platforms
- Website and apps must be developed to ensure flexibility and future growth
- ""Parallel bilingual"" as much as possible, with Irish and English language versions
- Hosting solution that can handle large number of visitors
- Geo-location technology built in to the solution
Please apply below for further information.",22/07/2016
Local defence procurement office is looking for the procurement of five articulated vehicles including five towing vehicles and five semitrailers.,"Local defence procurement office is looking for the procurement of five articulated vehicles including five towing vehicles and five semitrailers. The requested items shall have the ability to fetch crawler tractors, earth moving machines and bulldozers and other heavyweight objects from risky areas. The vehicles shall have the minimum carrying capacity of 60 tons.The towing vehicles and the semitrailers should be brand new meaning they have not been used in exhibitions or featured in trials. The vehicles should satisfy existing legal requirements and the contracting entity should also participate in the training of employees.
 For further details on this export opportunity, please do not hesitate to register your interest below.",10/08/2016
An international rolling stock company is sourcing engineering services and manufacturing equipment.,"One of the major international rolling stock manufacturers is sourcing suppliers of rail engineering services and manufacturing equipment as detailed below:
1. Friction Stir-Welding (FSW) equipment and machinery.
2. Assembling, welding and electrical testing equipment including cabling, switchboards and electrical static testing systems.
Prospective suppliers are kindly requested to submit a detailed profile of their offer and to register their interest via the link below.",31/03/2017
"Local medical school, Semmelweis University's Faculty of Nuclear Medicine is seeking the procurement and maintenance of a high-sensitivity PET-CT scanner.","Local medical school, Semmelweis University, is seeking the procurement of a high sensitivity positron emission tomography-computed (PET-CT) scanner with automatic injector. 
There is also a request for the maintenance and installation of the device (including the design and construction of the PET-CT laboratory).
For furthwer information register below with British Chamber of Commerce Hungary.",15/08/2016
Major tender announced by health services provider.,"Major tender for the provision of data processing services including:
1. Operation Support Systems (Central Computational Infrastructure,) & System Software (System Software Administration, Second Level Office for Emergency Support)
2. Support Software Application and Operation interfaces (Application Administration, Second Level Office of Emergency Support).
3. Website Support Operation for the provision of online Electronic Services
4. Help Desk (First & Second Level)
5. Project Management Services - Quality Assurance
6. Security Officer Services
Please apply below for further information.",09/09/2016
Online recruitment software,"The purpose of this Request for Proposal is to select a suitable contractor to provide an online recruitment tool, configurable for this International Organisation's needs. This tool should be user friendly and allow for specific adaptations to the organisation's key competencies, areas of expertise, etc. 
The bidder shall be a Software editor or service provider (SAAS model) company demonstrating experience in services and products for online recruitment and must be able to deliver all the requirements in this RFP including the provision of the tool, but also all necessary services (e.g., support, maintenance, training, configuration, migration of data if needed, hosting). 
The online system must meet key functional requirements as below.
 1. The system must be online and web-based
 2. The system is expected to be intuitive, documented and user-friendly
 3. The system must support applications by external and internal applicants
 4. The system must provide fonctionalities comparable to the current system
 5. The system must be hosted externally
 6. Data in the system will remain the property of the organisation and database accessible if needed. 
Please note that the online recruitment system can be provided as a product or as a service. 
Contact UKTI Geneva below for more information",24/07/2016
Health service agency looking to create data processing system,"Important tender for the development of IT system for the collection, analysis, processing and display of data using stochastic models.
More specifically, the tender includes:
1. Establishment of data collection, homogenization and storage system which will ensure data integration in a central repository and appropriate preparation for processing.
2. Development of a specialized processing system for data using stochastic models.
3. Establishment of a data distribution platform, through which processed data will be available in subsets to research and academic institutions or even citizens with appropriate security classification.
Please apply below for further information.",07/09/2016
A Russian company would like to develop and deliver training programmes for specialists involved in radioactive waste management.,"One of the largest Russian companies involved in Radioactive Waste (RAW) management is looking for a partner to develop and deliver joint training programmes for specialists involved in RAW management including collection, transportation, treatment and storage, as well as radiation emergency service, radio-ecological and mercury monitoring.
The company has a training centre established with the support of International Atomic Energy Agency (IAEA). Now it is interested to involve international trainers and coaches and develop new programmes for Russian and foreign specialists involved in RAW management.
Please do not hesitate to contact the team in UKTI Russia below if you require any further information.",01/10/2016
Polish local company seeks a variety of lasers from the UK.,"An established large distributor of a range of products and with a long time experience of cooperating with foreign partners urgently seeks a supplier of lasers from the UK. If you can supply a larger amount of specialist sets this opportunity is for you.
The value of the contract: unknown
The deadline for submissions is the 31st of August 2016. 
More details and contact to the relevant person in the procuring team are available on request. To register your interest, please click on the “Apply Now” button below. Please include your full contact details, website and product range. This information will be sent to the UKTI office in Warsaw. 
We are only able to respond to UK companies. Please note: The wholesaler will remain anonymous until interest is also expressed from their side as to avoid over-contacting/spamming, so there are no guarantees that direct contact will take place.",31/08/2016
Polish large local company seeks microwave equipment from the UK.,"An established large distributor of a range of products and with a long time experience of cooperating with foreign partners urgently seeks a supplier of microwave rotary joints from the UK. If you can supply a larger amount of specialist sets this opportunity is for you.
The value of the contract: unknown
The deadline for submissions is the 31st of August 2016. 
More details and contact to the relevant person in the procuring team are available on request. To register your interest, please click on the “Apply Now” button below. Please include your full contact details, website and product range. This information will be sent to the UKTI office in Warsaw. 
We are only able to respond to UK companies. Please note: The wholesaler will remain anonymous until interest is also expressed from their side as to avoid over-contacting/spamming, so there are no guarantees that direct contact will take place.",31/08/2016
An experienced Polish wholesaler is looking for British suppliers of building chemicals such as pigments and glues.,"The company associates wholesalers and distributors across the country and is an expert in traditional trade, with particular experience in Polish as well as Danish markets. 
It specializes in building sector and offers a few thousands of building products, such as building chemicals, materials, tools and DIY goods. The scope of products is very wide, from low-cost goods available on a mass scale to high end exclusive products.
They are looking for long-term cooperation and want to be an exclusive distributor for a British supplier of chemicals, tools, accessories and other equipment used in building sector.
Contact available in English.
Please register your interest below for further information.",31/08/2016
Procurement of railway rolling stock maintenance services,"A Croatian railways company is procuring the services to upgrade their railway rolling stock. The services refer to the installation of the automatic train stop device and the impulse sensors to the relevant train vehicles.
The duration of the contract for the maintenance of railway rolling stock is 2 years. The deadline for the installation of the equipment procured is 30 calendar days per one vehicle from the day of vehicle takeover to perform the installation works. 
Estimated contract value is € 1.5 million (excluding VAT).
Please apply below for further information.",05/08/2016
Procurement of transformer station equipment,"A Croatian electrical company is purchasing equipment for the transformer 110/20 kV. 
The equipment to be purchased includes the central control unit (MCU), double pole circuit breakers standby relays, and numerous other relevant parts.
The deadline for the service delivery and execution of works procured is 15 months from the day of introduction to the work.
Estimated contract value € 1.1 million (excluding VAT).
Please apply below for further information.",05/08/2016
"A Polish wholesaler is looking for British suppliers of building equipment, tools and accessories.","The company associates wholesalers and distributors across the country and is an expert in traditional trade. It specializes in building sector and offers a few thousands of building products, such as building chemicals, materials, tools and DIY goods. The scope of products is very wide, from low-cost goods available on a mass scale to high end products. They are looking for long-term cooperation and want to be an exclusive distributor for a British supplier of chemicals, tools, accessories and other equipment used in building sector.
Contact available in English.",31/08/2016
Ainsley Agroforestry & Aquaponics is seeking investors for the expansion of their agroforestry business and tourist outlet,"Located in Western Australia, Ainsley has a 2,400 Carob trees plantation with a plan to increase to 100,000 Carob, Neem and other trees. 
From the Carob tree fruit they have started producing Carob fibre which is a bio-active rich food ingredient, Carob syrup and gluten free flour. 
With future investment they hope to produce a vegetable protein from the Carob seed in order to make a drink, similar to MILO. From the Neem trees, they make a natural plant protector and fertiliser.
Value of Contract:
 - AU$5 million for the tree planting
 - AU$5 million for the conversion of the National Trust flour mill
This is an opportunity for British investors or businesses that would like to enter the China/India/S.E. Asia markets jointly with Ainsley's quality Carob products. In time, they will also have the fruit from the Drumstick trees which is an excellent tree food crop so together with Carob and Neem products this is a great growth opportunity.

Click 'APPLY NOW' to be introduced to the Director of the company to discuss further",31/10/2016
Government of Turkmenistan looking for company to assist in setting up strategy to enter capital markets.,"Turkmenistan enters transition period to market economy and the Government is keen to review proposals for consultancy in the area of finance and professional services in improving economic sector, transaction classification proces and international capital markets. 
One of the most important aspect is in provision necessary assistance and expertise in setting up Ashgabat Stock Exchange to allow distribution of local shares, national IPO and possibility to trade internationaly. Another important component is import substitution strategy that government currently set up as a policy until 2020. 
For further information apply below to UKTI Tukmenistan.",19/10/2016
Brazilian Company is looking for innovative solutions for bovine in vitro fertlization,"Brazilian company is looking for alternatives to improve efficiency while using Fetal bovine serum during IVF. They are also looking for products and solutions to enhance the reach of vitrification.
The company is specialised in 'in vitro fertilization' and is looking for new solutions and techniques to improve their cryopreservation process. Their team has more than 10 years of experience working in this area in the State of Sao Paulo and other regions with high demand from the cattle industry.
Please register your interest below for further information.",15/08/2016
An international rolling stock manufacturer is looking for a railway carriage uncoupling and recoupling service provider.,"One of the major international rolling stock manufacturers with a presence in Italy is looking for a UK supplier capable of uncoupling railway carriages to be loaded on to ships for international transport. Uncoupling will take place in France. Carriages will then be recoupled in the UK. 
The prospective service supplier should also guarantee site availability both in France and the UK to carry out the uncoupling and recoupling operations and provide insurance against acts of vandalism.
Only UK companies with the capabilities listed above are kindly invited to respond via the link below.",31/10/2016
High-quality base oils at a convincing price/performance ratio.,"This distributor has been supplying various chemicals-using industries in the Swiss market with high-quality raw materials and finished products for several decades. 
They enjoy well-established working relationships with a number of minor and major players in the local market. 
Today, they are looking to the UK to find a manufacturer of lubricants (base oils) to be applied to industrial products and processes in which friction needs to be avoided.  
If your business has earned itself a name in the UK for the manufacture of such high-quality oils at a convincing price/performance ratio, please register your interest below with UKTI Switzerland today.",30/10/2016
Rail freight operator is looking for automated solutions for the maintenance of its network.,"One of the biggest rail freight operators is seeking for technology and solution providers for:
•         Tamper machines
•         Track renewal systems
•         Ballast regulator machines
•         Wayside equipment
•         Train wheels
UK companies interested in learning more about this opportunity should register below.",05/08/2016
Utility company contracts a steel wire supplier,"Brazilian utility company is looking for suppliers of steel wire supply.  
The company will hire one lot of 3.161 kg of carbon wire rope coated with an electrolytic cooper layer. 
The successful company will have 120 days to supply the product and will be responsible for transport, packaging, insurance, loading and unloading charges. 
This is a great opportunity for UK companies to supply equipment and services. Please register your interest below with UKTI Brazil for more details. .",05/08/2016
Opportunity for companies operating in the renewable energy sector.,"Brazilian company operating in the renewable energy market seeks UK companies interested in partnering and developing projects in Brazil. 
The company is looking for long term partnerships to meet the demands of the Brazilian growing renewable energy market in the area of maintenance and operation, automation and control.
 If you company is a service provider or manufactures and is interested in exporting to Brazil, please register below and our team will provide you more information on the Brazilian possible partner.",20/10/2016
Opportunity to supply more than 19k bearings and more than 8k simmerings,"Private company seeks suppliers of bus bearings and simmerings.
The procurement is about 19,437 pcs of bearings and 8,662 pcs of simmerings.
The total value of this procurement is more than half million pounds.
UK companies with relevant expertise should register their interest using the button below.",03/08/2016
"Opportunity to supply 22,941 brake and brake parts per year for over £3.5 million","Private company seeks supplier of 22,941 bus air brake and its parts per year.
Total value of this procurement is over £3.5 million.
Makers include Haldex, Meritor, Wabco, Knorr, MOM.
Both new and renewed parts are to be quoted.
UK companies with relevant expertise should register their interest using the button below.",03/08/2016
An Austrian Government agency requesting services for the identification and valuation of water supply and sewerage system assets.,"The subject matter of the contract concerns the implementation of the following measures:
Component 1: — Documentation of the existing water supply and sewerage system assets in the remaining ‘Out of Service Areas’ or ‘White Areas’ in Albania — Identification of options for data sharing and processing with other on-going and planned activities in the water sector; Identification of options of access of collected data for water sector actors and consumers. If the Contracting Authority decides to implement some or all of the proposed activities of data sharing and processing, the tendered Consultant will further be contracted with the following activities: 
Component 2 (optional) comprises either the: — Implementation of (some or all) of the identified options for data sharing and processing by the tendered Consultant, or the — Assistance in procurement of related services.
The estimated contract value amounts to a total of 1,000,000 euros with a duration of 14 months. This contract is not subject to renewal. 
For further information, please register your interest below with the team in UKTI Austria.",02/08/2016
This Jiangsu-based (East China) company seeks consultancy services from a UK company that is experienced in rehab and elderly care services.,"Based in Jiangsu, East China, this company specialises in rehab and elderly care, operating one facility and constructing another due to increased demand for services.  
It now seeks consultancy service from UK firms that are experienced in rehab care, but is also searching for general management and employee training. 
To find out more, please register your interest with our team in China.
The China-Britain Business Council (‘CBBC’) is a membership organisation and UKTI’s chosen partner in China to deliver trade services. To find out more about CBBC please visit www.cbbc.org.",01/10/2016
